"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","NWCompany - Administracion","0","Vehiculos","1","0","Navegar, Crear, editar y eliminar Vehiculos","0"
"0","NWAdmin - Flota","0","Transacciones Rechazadas","2","0","Navegar y Ver detalles","0"
"0","NWAdmin - Administracion","0","Notificaciones","1","0","Navegar","0"
"0","NWAdmin - Flota","0","Contigencias","1","0","Navegar, Crear y Editar","0"
"0","NWAdmin - Flota","0","Contratos de Comercios","1","0","Navegar, Crear y Editar","0"
"0","NWAdmin - Flota","1","Contratos de Compañia","0","0","Navegar, Crear y Editar","0"
"0","NWAdmin - Administracion","0","Identificadores","1","0","Navegar, crear y Editar","0"
"0","NWAdmin - Flota","0","Autorizaciones Pendientes","2","0","Navegar y acceder a detalles","0"
"0","NWCompany - Flota","0","Transacciones Rechazadas","1","0","Navegar y Ver detalles","0"
"0","NWAdmin - Liquidaciones","0","Procesos De Liquidacion","1","0","Navegar","0"
"0","NWAdmin - Administracion","1","Comercios","0","0","Navegar, crear y Editar","0"
"0","NWAdmin - Flota","0","Identificaciones Solicitadas","1","0","Navegar","0"
"0","NWAdmin - Flota","0","Excepciones","2","0","Navegar, Ver detalles","0"
"0","NWCompany - Flota","0","Reglas","1","0","Navegar, Crear, editar y eliminar regla","0"
"0","NWAdmin - Flota","1","Reglas","0","0","Navegar, Crear, editar y eliminar regla","0"
"0","NWAdmin - Administracion","0","Combustibles","1","0","Navegar, crear y Editar","0"
"0","NWCompany - Flota","0","Autorizaciones Pendientes","1","0","Navegar y acceder a detalles","0"
"0","NWAdmin - Liquidaciones","0","Estados De Cuenta","1","0","Navegar y Descargar","0"
"0","NWAdmin - Flota","0","Transacciones","2","0","Navegar y Ver detalles","0"
"0","NWAdmin - Administracion","0","Banderas","1","0","Navegar, crear y Editar","0"
"0","NWCompany - Flota","0","Transacciones","1","0","Navegar y Ver detalles","0"
"0","NWAdmin - Administracion","0","Sitios","1","0","Navegar, crear y Editar","0"
"0","NWCompany - Flota","0","Excepciones","1","0","Navegar, Ver detalles","0"
"0","NWAdmin - Administracion","0","Terminal & Controladores","1","0","Navegar, crear y Editar","0"
"0","NWCompany - Administracion","1","Conductores","0","0","Navegar, Crear, editar y eliminar Conductores","0"
"0","NWAdmin - Administracion","0","Precios De Distribucion","1","0","Navegar, crear y Editar","0"
